title,shipping,editors_choice,uuid,url,description,price,category,picture_url,time_published,hotness,time_modified
Refurb Samsung SmartCam Camera 2-Pack,free shipping,,2168396,https://www.dealnews.com/Refurb-Samsung-Smart-Cam-Camera-2-Pack-for-90-free-shipping/2168396.html,"As one of its daily deals, Woot via Amazon offers the refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168396"">Samsung SmartCam HD Plus 1080p WiFi IP Monitoring Camera 2-Pack</a> for <strong>$89.99</strong> with <strong>free shipping</strong>. That's $148 under the lowest price we could find for two of these new. although we saw this 2-pack for $5 less last month. Each camera features a 130° wide angle of view, 1080p video, 2-way talk, motion & audio detection, and email and mobile notification. Deal ends today.<br>
<br>
Note: A 90-day Samsung warranty applies.",$90,SECURITY CAMERAS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zfa6ctulmxx8ec3vfp8a",2017-12-29T14:10:04-05:00,3,
Michael Kors Winter Sale,free shipping w/ $50,,2168306,https://www.dealnews.com/Michael-Kors-Winter-Sale-Up-to-50-off-free-shipping-w-50/2168306.html,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168306"">Michael Kors</a> takes <b>up to 50% off</b> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088833,2168306"">clothing, shoes, and acessories</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088836,2168306"">Winter Sale</a>. (Prices are as marked.) Shipping adds <b>$5</b>, but orders of $50 or more qualify for free shipping. Some exclusions may apply. Deal ends January 2.",Up to 50% off,CLOTHING & ACCESSORIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rjowtkotwklfp2g09ftq",2017-12-29T14:09:24-05:00,4,
"Verso 10"" Red Speedy Balance Bike",free shipping,,2168315,https://www.dealnews.com/Verso-10-Red-Speedy-Balance-Bike-for-50-free-shipping/2168315.html,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168315"">Verso 10"" Red Speedy Balance Bike</a> in Red for <strong>$49.94</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $17. It's designed for children age 2 to 5.",$50,BICYCLING,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/t9hg41ax43ayilyme58j",2017-12-29T14:02:40-05:00,2,
Coats Direct coupon,free shipping,,2168387,https://www.dealnews.com/Coats-Direct-coupon-40-off-sitewide-free-shipping/2168387.html,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089169,2168387"">Coats Direct</a> takes an <strong>extra 40% off</strong> sitewide via coupon code ""NEW40"". Plus, all orders bag <strong>free shipping</strong>. Deal ends January 1, 2018. A couple of best bets, with prices after coupon:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089142,2168387"">Laundry by Design Women's Hooded Quilted Anorak Jacket</a> for <strong>$47.99</strong> ($152 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168387"">Nautica Men's Wool Twill Coat</a> for <strong>$83.99</strong> (pictured, $316 off)
 </li>
</ul>",40% off sitewide,COATS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dludpelfxhvkzusmd7ci",2017-12-29T13:59:30-05:00,3,
"Haier 55"" 4K LED LCD UHD TV",free shipping,,2168351,https://www.dealnews.com/Haier-55-4-K-LED-LCD-UHD-TV-for-350-free-shipping/2168351.html,"BuyDig offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168351"">Haier 54.6"" 4K LED-Backlit LCD Ultra HD Television</a>, model no. 55UGX3500, for <strong>$349.99</strong> with <strong>free shipping</strong>. (You may need to apply coupon code ""c11711289377"" to see this price.) That's the lowest price we could find by $50. It features a 3840x2160 (4K, 2160p) native resolution, USB, and four HDMI inputs. Deal ends January 5.",$350,TVS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/m1jipjikp519pzmbvunb",2017-12-29T13:56:51-05:00,3,
Dell Refurbished Store coupon,free shipping,,2168339,https://www.dealnews.com/Dell-Refurbished-Store-coupon-31-to-45-off-free-shipping/2168339.html,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168339"">Dell Refurbished Store</a> cuts <b>45% off</b> any item priced at <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088938,2168339"">$399 or higher</a> via coupon code ""NEWYEAR18"". (The same code also knocks <b>31% off</b> any item priced at <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088941,2168339"">$398 or less</a>, excluding E6430 models.) Plus, all orders qualify for <b>free shipping</b>. Some exclusions apply, such as clearance. Deal ends January 2.<br>
<br>
These systems are covered by a 100-day Dell warranty.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s3007/Dell-Refurbished-Store/"">Dell Refurbished Store Coupons</a>.</p>",31% to 45% off,COMPUTERS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dq5mvihrblbv01lxryec",2017-12-29T13:52:08-05:00,3,
REI Holiday Clearance,,,2167745,https://www.dealnews.com/REI-Holiday-Clearance-Up-to-50-off/2167745.html,"REI takes <strong>up to 50% off</strong> select items as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167745"">Holiday Clearance</a>. Plus, save <strong>50% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17087507,2167745"">new markdowns</a> at REI Garage. Shipping adds <strong>$5.99</strong>, although orders of $50 or more bag free shipping. (Some large items may incur additional handling charges; in-store pickup is available for most items.) Choose from categories including outerwear, apparel, accessories, and more. Deal ends January 1.",Up to 50% off,REI COUPONS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/f0vtk0ztegkn4ri3ovju",2017-12-29T00:01:00-05:00,,
Victoria Sport Women's Front-Close Sport Bra,$8 shipping,,2168369,https://www.dealnews.com/Victoria-Sport-Womens-Front-Close-Sport-Bra-for-25-8-s-h/2168369.html,"Victoria's Secret offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168369"">Victoria Sport Women's The Knockout Front-Close Sport Bra</a> in several colors (Black pictured) for <strong>$24.99</strong> plus <strong>$8</strong> for shipping. That's $25 off and the lowest price we could find. It's available in select sizes from 32 to 40 with cups from B to DDD.",$25,ACTIVEWEAR,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zlboowfogk5nkyjfg599",2017-12-29T13:51:14-05:00,3,
Night Owl 8-Ch. 4-Cam 1080p Security System,free shipping,,2168324,https://www.dealnews.com/Night-Owl-8-Ch.-4-Cam-1080-p-Security-System-for-300-free-shipping/2168324.html,"Sam's Club offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168324"">Night Owl 8-Channel 1080p 1TB DVR Security System with Four Cameras</a> for <strong>$299.88</strong> with <strong>free shipping</strong>. (Not a member? <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088911,2168324"">Amazon</a> charges the same.) That's tied with our July mention and the lowest price we could find now by $13, although most retailers charge at least $450. The system features four weather-resistant 1080p infrared cameras with a 100° field of view, night vision up to 100 feet, motion and heat detection, a DVR with 1TB hard drive, integrated 2-hour battery backup, Ethernet, email alerts, and remote viewing via the Night Owl HD mobile app. Deal ends December 31.",$300,SECURITY CAMERAS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uyp0nrqeurvgc0jlqrvw",2017-12-29T13:50:23-05:00,2,
Trademark Poker 2-Deck Blackjack Dealing Shoe,pickup at Walmart,,2168384,https://www.dealnews.com/Trademark-Poker-2-Deck-Blackjack-Dealing-Shoe-for-7-pickup-at-Walmart/2168384.html,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168384"">Trademark Poker 2-Deck Blackjack Dealing Shoe</a> for $7.02. Opt for in-store <strong>pickup</strong> to drop the price to <strong>$6.69</strong> and avoid the $5.99 shipping fee. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089079,2168384"">Amazon</a> charges the same with orders of $25 or more.) That's $18 off list and the lowest price we could find. It features a steel roller and rounded edges.",$7,CARD AND BOARD GAMES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/d1aisxhudb2fbvfk5lqe",2017-12-29T13:50:13-05:00,2,
Dr.Meter Water Quality TDS Tester,free shipping w/ Prime,,2168354,https://www.dealnews.com/Dr.Meter-Water-Quality-TDS-Tester-for-8-free-shipping-w-Prime/2168354.html,"Thousandshores via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168354"">Dr.Meter Water Quality TDS Tester</a> for $12.99. Coupon code ""YMVIECBV"" drops it to <b>$8</b>. Plus, Prime members bag <b>free shipping</b>. That's $3 under our October mention and the lowest price we could find now by $6. It features an LCD display and includes a chart explaining TDS values. Deal ends January 2.",$8,TOOLS & HARDWARE,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ebukc7pa9a4jq8k58md2",2017-12-29T13:34:18-05:00,4,
"Dell Kaby Lake R 13"" Touch Laptop",free shipping,,2168381,https://www.dealnews.com/Dell-Kaby-Lake-R-13-Touch-Laptop-for-686-free-shipping/2168381.html,"Dell Home, via its Member Purchase Program, offers its 3.2-lb. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168381"">Dell Inspiron 13 7000 Series 7373 Intel Kaby Lake R Core i5 1.6GHz 13.3"" 1080p Touchscreen Laptop</a> for <strong>$685.99</strong> with <strong>free shipping</strong>. That's tied with our mention from last week and the lowest price we could find by $113. Features include:
<ul>
 <li>Intel Core i5-8250U 1.6GHz Kaby Lake R quad-core processor
 </li>
 <li>13.3"" 1920x1080 (1080p) IPS LED-backlit LCD
 </li>
 <li>8GB RAM
 </li>
 <li>256GB SSD
 </li>
 <li>Windows 10 Home 64-bit
 </li>
</ul>",$686,LAPTOPS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yptomilasmydrrs27or3",2017-12-29T13:27:47-05:00,2,
"Dell Kaby Lake i5 16"" Laptop w/ 256GB SSD",free shipping,,2168378,https://www.dealnews.com/Dell-Kaby-Lake-i5-16-Laptop-w-256-GB-SSD-for-735-free-shipping/2168378.html,"Dell Home, via its Member Purchase Program, offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168378"">Dell Inspiron 15 7000 Series 7567 Intel Kaby Lake Core i5 2.5GHz 15.6"" 1080p Gaming Laptop</a> in Black or Red for $783.99. Coupon code ""50OFF699"" cuts that to <b>$734.99</b>. With <b>free shipping</b>, that's tied with last week's mention and the best price we could find today by $65. (Most retailers charge at least $900.) Deal ends February 3, 2018. Features include:
<ul>
 <li>Intel Core i5-7300HQ 2.5GHz Kaby Lake quad-core processor
 </li>
 <li>15.6"" 1920x1080 (1080p) IPS LED-backlit LCD
 </li>
 <li>8GB RAM
 </li>
 <li>256GB SSD
 </li>
 <li>Nvidia GeForce GTX 1050Ti 4GB video card
 </li>
 <li>Windows 10 Home 64-bit
 </li>
</ul>",$735,LAPTOPS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zxim9tkvg2m12rwfv8ow",2017-12-29T13:24:22-05:00,2,
Canon Refurbished Sale,free shipping w/ $100,,2168342,https://www.dealnews.com/Canon-Refurbished-Sale-Extra-15-off-free-shipping-w-100/2168342.html,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168342"">Canon</a> cuts an <strong>extra 15% off</strong> select refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088944,2168342"">cameras, lenses, flashes, printers, and camcorders</a> via coupon code ""VIP15-774727"". Shipping starts at <strong>$11.99</strong>, but orders of $100 or more qualify for free shipping. Some exclusions apply, and available quantities may be limited.<br>
<br>
Note: A 1-year Canon warranty applies to all refurbs.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s5196/Canon/"">Canon Coupons</a>.</p>",Extra 15% off,CAMERAS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/j0kc99keppjxupvsfv7u",2017-12-29T13:18:04-05:00,4,
Robb Report Magazine 1-Year Subscription,,True,2168348,https://www.dealnews.com/Robb-Report-Magazine-1-Year-Subscription-for-5-for-12-issues/2168348.html,"DiscountMags offers a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168348"">Robb Report Magazine 1-Year Subscription</a> (12 issues) for $64.99. Coupon code ""DEALNEWS"" cuts that to <strong>$4.99</strong>. That's tied with our February mention as the best price we've seen, and it's a low by $60.<br>
<br>
Of note, you can buy up to four years at this discounted rate.",$5 for 12 issues,MAGAZINES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yvxqrekgbo87zvciajkw",,3,2017-12-29T15:28:08-05:00
Victoria's Secret Women's Lace & Satin Slip,$8 shipping,,2168363,https://www.dealnews.com/Victorias-Secret-Womens-Lace-Satin-Slip-for-40-8-s-h/2168363.html,"Victoria's Secret offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168363"">Victoria's Secret Women's Very Sexy Chantilly Lace &amp; Satin Slip</a> in Black for <strong>$39.99</strong> plus <strong>$8</strong> for shipping. That's $28 off and the lowest price we could find. It's available in most sizes from XS to XL.",$40,INTIMATES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/f2kixsabueghlalpsvyl",2017-12-29T13:17:41-05:00,3,
Bank of America® Travel Rewards Credit Card,,,2168498,"https://www.dealnews.com/lw/click.html?20,2,2168498","At Bank of America, apply for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168498"">Bank of America® Travel Rewards credit card</a> and receive <strong>20,000 bonus points</strong> if you make at least $1,000 in purchases in the first 90 days of account opening – that can be redeemed for a <strong>$200 Statement Credit towards travel purchases</strong>. Plus, earn <strong>1.5 points</strong> per $1 spent on all purchases, with <strong>no annual fee</strong> and <strong>no foreign transaction fees</strong>. Redeem points for a statement credit to pay for flights, hotels, vacation packages, cruises, rental cars, or baggage fees with no blackout dates. There's no limit to the total number of points you can earn and points don't expire.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1631/Bank-of-America/"">Bank of America credit card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>","20,000 bonus points offer",CREDIT CARDS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bv3urdvfxvmwirwdv9qm",2017-12-29T15:40:39-05:00,,
DJI Phantom 4 Quadcopter Drone with 4K Camera,free shipping,,2168345,https://www.dealnews.com/DJI-Phantom-4-Quadcopter-Drone-with-4-K-Camera-for-759-free-shipping/2168345.html,"Deal Road via Rakuten offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168345"">DJI Phantom 4 Quadcopter Drone with 4K Camera</a> for $799. Coupon code ""PHANTOM4"" cuts that to <strong>$759</strong>. With <strong>free shipping</strong>, that's $40 below our mention from last month and the lowest price we've seen for a new unit. (It's the best deal now by $46.) Features include a gimbal-stabilized 12-megapixel camera with 4K video recording at 30fps, 44.7mph top speed (in sport mode), GPS navigation, and up to 28 minutes of flying time per charge. Deal ends January 4.<br>
<br>
Note: This coupon can only be used once per account. (You must be signed in to use it.)",$759,TOYS & HOBBIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zxtortvkeeopy6dyl17q",2017-12-29T13:01:16-05:00,2,
Google Chromecast Audio Media Player,pickup at GameStop,,2168327,https://www.dealnews.com/Google-Chromecast-Audio-Media-Player-for-26-pickup-at-Game-Stop/2168327.html,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168327"">Google Chromecast Audio Media Player</a> for <strong>$25.97</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's the second-lowest price we've seen, although we saw it for a buck less during Black Friday week. (It's the best deal today by $9.) It features dual-band 802.11ac wireless and compatibility with Android and iOS devices. The set includes one 3.5mm audio cable.",$26,STREAMING MEDIA PLAYERS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jy92hkqn2jjbuz0gmjcb",2017-12-29T13:01:12-05:00,3,
Timberland Boscawen Hardside 3pc Luggage Set,free shipping,,2168357,https://www.dealnews.com/Timberland-Boscawen-Hardside-3-pc-Luggage-Set-for-179-free-shipping/2168357.html,"eBags via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168357"">Timberland Boscawen Hardside Spinner 3-Piece Luggage Set</a> in Orange for <b>$178.99</b> with <b>free shipping</b>. That's the lowest price we could find by $54. The set includes a 21"", 25"", and 28"" spinner, all with telescoping handles and lined interiors.",$179,LUGGAGE & TRAVEL GEAR,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mjiaffddb4modbqinkv8",2017-12-29T12:59:04-05:00,3,
Boneco Compact Ultrasonic Humidifier,$9 shipping,,2168321,https://www.dealnews.com/Boneco-Compact-Ultrasonic-Humidifier-for-46-9-s-h/2168321.html,"Newegg offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168321"">Boneco Compact Ultrasonic Humidifier</a> for <b>$46.35</b> plus <b>$8.67</b> for shipping. That's the lowest price we could find by $9, although most sellers charge around $100. It features variable output, bidirectional misting, and automatic shutoff.",$46,HUMIDIFIERS & DEHUMIDIFIERS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bacu6rewj5uwq75jrlzf",2017-12-29T12:43:41-05:00,3,
"PUMA Switchstance 17"" Laptop Backpack",free shipping,,2168333,https://www.dealnews.com/PUMA-Switchstance-17-Laptop-Backpack-for-15-free-shipping/2168333.html,"Proozy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168333"">PUMA Switchstance 17"" Laptop Backpack</a> in Burnt Olive for $29.99. Coupon code ""DN1499"" cuts that to <strong>$14.99</strong>. With <strong>free shipping</strong>, that's $11 under our August metnion, $24 off, and the lowest price we could find. It features adjustable shoulder straps, a padded laptop sleeve, front zipper pocket, and side slip pockets. Deal ends January 3.",$15,BACKPACKS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zcd86de7whygzvkswb0p",2017-12-29T12:43:36-05:00,3,
"Samsung 65"" Curved 4K HDR LED LCD Smart TV",free shipping,,2168318,https://www.dealnews.com/Samsung-65-Curved-4-K-HDR-LED-LCD-Smart-TV-for-1-098-free-shipping/2168318.html,"BuyDig offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168318"">Samsung 65"" Curved 4K HDR WiFi LED-Backlit LCD Ultra HD Smart Television</a>, model no. UN65MU7500FXZA, for $1,197.99. Coupon code ""NEWYEARS100"" drops that to <strong>$1,097.99</strong>. (The discount applies at final checkout.) With <strong>free shipping</strong>, that's $102 under our June mention and the lowest price we've seen. (It's the best deal now by $90.) This 2017 model features a 3840x2160 (2160p) native resolution, HDR, 4K upscaling, 802.11ac wireless, Smart TV apps (Netflix, YouTube, Hulu Plus, more), USB, and three HDMI inputs. Deal ends December 31.","$1,098",TVS,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yyclgc7ctobugaf7t5po",2017-12-29T12:34:04-05:00,3,
XuanWheel Colorful Bicycle Wheel Spoke Light,free shipping,,2168285,https://www.dealnews.com/Xuan-Wheel-Colorful-Bicycle-Wheel-Spoke-Light-for-20-free-shipping/2168285.html,"GearBest offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168285"">XuanWheel X1 Colorful Bicycle Wheel Spoke Light</a> for <strong>$19.99</strong> with <strong>free shipping</strong>. That's $7 under our March mention and the lowest price we could find by $6. It features mobile Bluetooth controls and an 8-hour working time. Deal ends January 4.",$20,BICYCLING,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vtcztwff4ntyqgkatnza",2017-12-29T12:22:21-05:00,3,
Tillys Clearance Sale,free shipping,,2168294,https://www.dealnews.com/Tillys-Clearance-Sale-50-off-free-shipping/2168294.html,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168294"">Tillys</a> takes <b>50% off</b> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088767,2168294"">men's, women's, and kids' sale styles</a> for its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088770,2168294"">Clearance Sale</a>. (Prices are as marked.) Plus, coupon code ""DNFS"" bags <b>free shipping</b>. (If you see an error in-cart after applying the coupon code, click ""Checkout"" and you should see free shipping on the following page.) Some exclusions may apply.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s2336/Tillys/"">Tillys Coupons</a>.</p>",50% off,CLOTHING & ACCESSORIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lamsb8ut54htmm5ofwtd",,4,2017-12-29T13:25:09-05:00
Minecraft Mooshroom Plush,pickup at Walmart,,2168297,https://www.dealnews.com/Minecraft-Mooshroom-Plush-for-10-pickup-at-Walmart/2168297.html,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168297"">Minecraft Mooshroom Plush</a> for <strong>$9.99</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping fee. That's the lowest price we could find by $7. It's polyester and measures 8"" long.",$10,TOYS & HOBBIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lupvb8lpflcibl79fkmb",2017-12-29T12:21:44-05:00,1,
Aduro U-Grip Tablet Stand and Holder,free shipping w/ Prime,,2167820,https://www.dealnews.com/Aduro-U-Grip-Tablet-Stand-and-Holder-for-10-free-shipping-w-Prime/2167820.html,"Entronik via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167820"">Aduro U-Grip Tablet Stand and Holder</a> in several colors (Black/Red pictured) for $12.97. Coupon code ""P6HBBJMA"" cuts it to <b>$9.99</b>. Plus, Prime members get <b>free shipping</b>. It fits tablets of 7"" to 10"", a rubber coated grip, and 360° of rotation. Deal ends January 6.",$10,TABLET ACCESSORIES,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/r4rw5okcl1wu2dlptziu",2017-12-29T03:18:06-05:00,,
"ANNT 32"" 180W Curved LED Light Bar",free shipping,,2168303,https://www.dealnews.com/ANNT-32-180-W-Curved-LED-Light-Bar-for-40-free-shipping/2168303.html,"Eshop-best via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168303"">ANNT 32"" 180-watt Curved LED Light Bar</a> in Black <b>$39.99</b> with <b>free shipping</b>. That's the lowest price we could find by $17. It measures 35"" x 4"" x 3"" and features waterproof construction. It's designed for use with off-road vehicles.",$40,AUTOMOTIVE,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/anzqbvmfzzmi8zfjqrqw",2017-12-29T12:18:13-05:00,3,
