editors_choice,title,time_published,shipping,picture_url,time_modified,category,uuid,price,url,hotness,description
,Joy Mangano Miracle Mop Bucket,2018-01-06T13:59:29-05:00,free s&h w/beauty item,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/a8wztosdukwaeidihpvc",,CLEANING SUPPLIES,2173289,$13,https://www.dealnews.com/Joy-Mangano-Miracle-Mop-Bucket-for-13-free-s-h-w-beauty-item/2173289.html,4,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173289"">Joy Mangano Miracle Mop Bucket</a> in Purple or Fuchsia for $14.99. Coupon code ""WKND"" cuts the price to <strong>$12.74</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099120,2173289"">HSN via eBay</a> charges about the same.) Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099108,2173289"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. That's the lowest price we could find by $5. It features a 4-gallon capacity, easy-pour spout, and locking handle. Deal ends January 7."
,Polaris Women's Asymmetrical Hoodie,2018-01-06T13:53:47-05:00,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/x0ainugfp3izxogavvp5",,SWEATSHIRTS & HOODIES,2173283,$30,https://www.dealnews.com/Polaris-Womens-Asymmetrical-Hoodie-for-30-free-shipping/2173283.html,3,"Fix_my_toys via eBay offers the OEM <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173283"">Polaris Women's Asymmetrical Sweatshirt Hoodie</a> in Black for <strong>$29.95</strong> with <strong>free shipping</strong>. That's $30 off and the lowest price we could find. It's available in sizes XS to L."
,Martha Stewart Collection 3-Pc. Zesting Set,2018-01-06T13:50:37-05:00,free s&h w/beauty item,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/l5841o2xtz7post4fpst",,KITCHEN,2173292,$9,https://www.dealnews.com/Martha-Stewart-Collection-3-Pc.-Zesting-Set-for-9-free-s-h-w-beauty-item/2173292.html,2,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173292"">Martha Stewart Collection 3-Pice Zesting Set</a> for <strong>$9.03</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099111,2173292"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. That's $14 off list and the lowest price we could find. It features a zester, peeler, and paring knife."
,Kitchenware at Sears,2018-01-06T13:49:36-05:00,free shipping w/ $25,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ppsjzszjyya4628rsefo",,KITCHEN,2173232,Extra 10% off,https://www.dealnews.com/Kitchenware-at-Sears-Extra-10-off-free-shipping-w-25/2173232.html,3,"Ending today, Sears takes an <strong>extra 10% off</strong> a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173232"">selection of kitchen items</a> via coupon code ""NEWYEAR"". Opt for in-store <strong>pickup</strong> to dodge shipping fees, which start around $3. (Orders of $25 or more bag free shipping.) The discount applies only to items sold directly by Sears, and other exclusions may apply.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s510/Sears/"">Sears Coupons</a>.</p>"
,Home Decorators Collection East India Buffet,2018-01-06T13:39:25-05:00,pickup at Home Depot,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/u8d8dzxont920hmvijgw",,HOME FURNITURE,2173286,$99,https://www.dealnews.com/Home-Decorators-Collection-East-India-Buffet-for-99-pickup-at-Home-Depot/2173286.html,4,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173286"">Home Decorators Collection East India Walnut Buffet</a> for <strong>$99.50</strong>. Opt for in-store <strong>pickup</strong> to dodge the $25 shipping charge. That's the lowest price we could find by $50. It measures 21"" x 28"". Deal ends January 7."
,Greatest Ghost & Horror Stories Kindle eBook,2018-01-06T13:07:02-05:00,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ziqwcmobtom9eylspl6a",,EBOOKS,2173268,free,https://www.dealnews.com/Greatest-Ghost-Horror-Stories-Kindle-eBook-for-free/2173268.html,5,"Amazon offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173268"">The Greatest Ghost and Horror Stories Ever Written Kindle eBook</a> for <strong>free</strong>. That's the lowest price we could find by a buck. It includes 30 stories by renowned authors such as Edgar Allan Poe, H.P. Lovecraft, H.G. Wells, Franz Kafka, and Bram Stoker."
,Alpine Swiss Men's Leather Zip Around Wallet,2018-01-06T13:05:33-05:00,free shipping w/ Prime,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/az6txmeyrkibi9kc9rse",,ACCESSORIES,2173262,$13,https://www.dealnews.com/Alpine-Swiss-Mens-Leather-Zip-Around-Wallet-for-13-free-shipping-w-Prime/2173262.html,5,"Alpine Swiss Store via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173262"">Alpine Swiss Men's Leather Zip Around Wallet</a> in several colors (Antique Brown pictured) for <strong>$12.74</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $2. It features a zipper closure, card case, and two separate bill compartments."
,Young Adult Books at Amazon,2018-01-06T13:04:45-05:00,free shipping w/ Prime,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xd1fs7vsnvalepm26mdz",,BOOKS,2173247,Up to 50% off; from $5,https://www.dealnews.com/Young-Adult-Books-at-Amazon-Up-to-50-off-from-5-free-shipping-w-Prime/2173247.html,3,"Amazon takes <b>up to 50% off</b> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099105,2173247"">young adult books</a>, with prices starting from <b>$4.99</b>. Plus, Amazon Prime members bag <b>free shipping</b>. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099051,2173247"">Gwenda Bond's <i>Girl on a Wire</i></a> for <b>$4.99</b> (same at <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099054,2173247"">Walmart</a>; low by $2)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173247"">Carrie Anne Noble's <i>The Mermaid's Sister</i></a> for <b>$5.99</b> (pictured, same at <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099057,2173247"">Walmart</a>; low by $4)
 </li>
</ul>"
,Optimum Nutrition 100% Whey Protein 10-lb Bag,2018-01-06T13:03:32-05:00,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uhbqfaxqjh9yaxaghdfy",,SUPPLEMENTS,2173229,$62,https://www.dealnews.com/Optimum-Nutrition-100-Whey-Protein-10-lb-Bag-for-62-free-shipping/2173229.html,3,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173229"">Optimum Nutrition 100% Whey Gold Standard Protein Powder 10-lb. Bag</a> in Double Rich Chocolate for $65.61. Order via Subscribe & Save to drop it to <b>$62.33</b>. With <b>free shipping</b>, that's the lowest price we could find by $38. It offers 24g of whey protein per serving.<br>
<br>
Be sure to cancel Subscribe & Save after your order ships to avoid being charged for subsequent orders."
,Southwest Rapid Rewards® Plus Credit Card,2018-01-06T11:44:21-05:00,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bdvpkwrdh3pw8ey7wvmq",,CREDIT CARDS,2173211,"40,000 points","https://www.dealnews.com/lw/click.html?20,2,2173211",,"Sign up for a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173211"">Southwest Rapid Rewards® Plus Credit Card from Chase</a> and earn <strong>40,000 points</strong> after you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099024,2173211"">$1,000 or more</a> in the first three months your account is open. You'll also earn <strong>3,000 bonus points</strong> after your Cardmember anniversary. Plus, earn unlimited points that don't expire as long as your card account is open. Cardmembers earn 2 points per $1 spent on Southwest® purchases and Rapid Rewards® Hotel and Car Rental Partner purchases, and 1 point per $1 spent on all other purchases. There are no blackout dates or seat restrictions when you redeem with points. Finally, bags fly free® and there are no change fees. A $69 annual fee applies.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>"
,Ergotron WorkFit-T Sit-Stand Workstation,2018-01-06T12:56:13-05:00,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ktnvv6g48jejo1ggajt3",,COMPUTER ACCESSORIES,2173259,$350,https://www.dealnews.com/Ergotron-Work-Fit-T-Sit-Stand-Workstation-for-350-free-shipping/2173259.html,2,"Hayneedle offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173259"">Ergotron WorkFit-T Sit-Stand Desktop Workstation</a> in White for <strong>$350.16</strong> with <strong>free shipping</strong>. Excluding the mention below, that's the lowest price we could find by $19. It creates a standing desk when you place it on top of your existing work surface.<br>
<br>
Prefer black? <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099075,2173259"">Dell</a> has it for $359.99 with free shipping."
,Dungeonism for iPhone and iPad,,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/herrwb4u2t2vypt02rtt",2018-01-06T12:06:55-05:00,IPHONE / IPOD APPS,2173226,free,https://www.dealnews.com/Dungeonism-for-iPhone-and-iPad-for-free/2173226.html,4,"iTunes offers downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173226"">Dungeonism for iPhone and iPad</a> for <strong>free</strong>. That's $2 off list and the first time this retro-styled dungeon crawler has been free."
,Streets of Rage Classic for iOS / Android,2018-01-06T11:57:36-05:00,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dqq9brvrujj5s1jqlw5r",,IPHONE / IPOD APPS,2173217,free,https://www.dealnews.com/Streets-of-Rage-Classic-for-iOS-Android-for-free/2173217.html,5,"iTunes offers downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173217"">Streets of Rage Classic for iPhone and iPad</a> for <strong>free</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099030,2173217"">Google Play</a> also has the Android version for free.) That's $1 off list and the lowest price we could find for this classic side-scrolling brawler."
,Habit List for iPhone / iPad,2018-01-06T11:57:02-05:00,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rsfnuouggnxa4whn8qvp",,IPHONE / IPOD APPS,2173214,free,https://www.dealnews.com/Habit-List-for-iPhone-iPad-for-free/2173214.html,4,"iTunes offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173214"">Habit List for iPhone and iPad</a> for <strong>free</strong>. That's $4 off list and the best we could find. It allows you to track your progress, view trends over time, and features flexible scheduling to reach your goals."
,Kubic for iPhone and iPad,2018-01-06T11:55:23-05:00,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mh4lcbueiga0ul6spa1d",,IPHONE / IPOD APPS,2173220,free,https://www.dealnews.com/Kubic-for-iPhone-and-iPad-for-free/2173220.html,5,"iTunes offers downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173220"">Kubic for iPhone and iPad</a> for <strong>free</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099033,2173220"">Google Play</a> has the Android version for free too.) That's $2 off list and the lowest price we could find. It features iPhone X support, reduced file size, and a new zoom and drag feature."
,Meditation Studio for iPhone and iPad,2018-01-06T11:52:48-05:00,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/y83q0ecfkohg5sj1yrd0",,IPHONE / IPOD APPS,2173223,free,https://www.dealnews.com/Meditation-Studio-for-iPhone-and-iPad-for-free/2173223.html,4,"iTunes offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173223"">Meditation Studio for iPhone and iPad</a> for <strong>free</strong>. That's $4 off list and the lowest price we could find. It features guided and unguided meditation settings. Three subscription tiers are available."
,Afterlight for iPhone and iPad,2018-01-06T11:43:29-05:00,,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/u69ikynnlwqjmypr8ypd",,IPHONE / IPOD APPS,2173196,free,https://www.dealnews.com/Afterlight-for-iPhone-and-iPad-for-free/2173196.html,5,"iTunes offers downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173196"">Afterlight for iPhone and iPad</a> for <strong>free</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099021,2173196"">Google Play</a> also has the Android version for free.) That's $1 off list and the lowest price we could find. It features 128 adjustable frames, 78 textures, 79 filters, and 15 adjustment tools."
,Frederick's of Hollywood Semi-Annual Sale,2018-01-06T11:41:04-05:00,free shipping w/ $75,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gszufxtxjvyc0xaj1nns",,INTIMATES,2173202,Up to 70% off + 20% off,https://www.dealnews.com/Fredericks-of-Hollywood-Semi-Annual-Sale-Up-to-70-off-20-off-free-shipping-w-75/2173202.html,4,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173202"">Frederick's of Hollywood</a> takes up to <strong>70% off</strong> sitewide during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099015,2173202"">Semi-Annual Sale</a>. (Prices are as marked.) Plus, take an <b>extra 20% off</b> via coupon code ""ABX220"". Shipping starts at <strong>$9.95</strong>, but orders of $75 or more (after discount) qualify for free shipping. Deal ends January 8.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s714/Fredericks-of-Hollywood/"">Frederick's of Hollywood Coupons</a>.</p>"
,Dell AMD W4100 2GB Graphics Card,2018-01-06T11:38:45-05:00,free shipping,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ybahtpapsyjz2xjxddoi",,VIDEO CARDS,2173193,$114,https://www.dealnews.com/Dell-AMD-W4100-2-GB-Graphics-Card-for-114-free-shipping/2173193.html,3,"Dell Home, via its Member Purchase Program, offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173193"">Dell AMD FirePro W4100 2GB 128-bit GDDR5 PCI-Express 3.0 x16 Video Card</a> for <strong>$113.99</strong> with <strong>free shipping</strong>. That's $19 under our October mention and the lowest price we could find today by $66. It supports display resolutions up to 4096x2160 and features four mini DisplayPort outputs, an active fansink cooler, and support for OpenCL 1.2, OpenGL 4.5, and DirectX 12."
