hotness,url,time_published,time_modified,description,shipping,uuid,price,picture_url,editors_choice,title,category
0,https://www.dealnews.com/Refurb-New-Nintendo-3-DS-XL-Console-for-160-free-shipping/2168681.html,2017-12-30T01:57:46-05:00,,"Nintendo via eBay offers its refurbished <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168681"">New Nintendo 3DS XL Game Console</a> in Black for <strong>$160</strong> with <strong>free shipping</strong>. That's $30 under the lowest price we could find for a new unit, although we saw a refurb with a $15 gift card for $160 three weeks ago. It features Amiibo support and is compatible with all Nintendo DS games.<br>
<br>
Note: A 1-year Nintendo warranty applies.",free shipping,2168681,$160,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qnamfe1ldhqnxesaxjwm",,Refurb New Nintendo 3DS XL Console,CONSOLES
4,https://www.dealnews.com/Kitchen-Aid-1.7-Liter-Electric-Kettle-for-65-free-shipping/2168744.html,2017-12-30T00:48:53-05:00,,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168744"">KitchenAid 1.7-Liter Electric Kettle with LED Display</a> in Brushed Stainless Steel for <strong>$64.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089754,2168744"">Amazon</a> charges the same.) That's the lowest price we could find by $20. It features a clear water window with blue LED and 30-minute hold temperature function that maintains the temperature while on the base.",free shipping,2168744,$65,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zogzwty693l3mhhy8zpt",,KitchenAid 1.7-Liter Electric Kettle,KITCHEN
4,https://www.dealnews.com/Woolrich-Roaring-Branch-Jacquard-Blanket-for-60-free-shipping/2168741.html,2017-12-30T00:22:39-05:00,,"American Eagle Outfitters offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168741"">Woolrich Roaring Branch Jacquard Blanket</a> for <strong>$59.99</strong> with <strong>free shipping</strong>. That's $137 off list and the lowest price we could find. It measures 50"" x 70"".",free shipping,2168741,$60,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jgofpmg16ijeluxkuzoc",,Woolrich Roaring Branch Jacquard Blanket,BEDDING
5,https://www.dealnews.com/Accent-Furniture-at-Macys-Up-to-70-off/2168738.html,2017-12-29T23:42:24-05:00,,"Macy's cuts <strong>up to 70% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089751,2168738"">accent furniture</a> with prices starting at $66.20. Shipping starts around <strong>$10.95</strong> and surcharges may apply. Discounted items include chairs, side tables, chaise lounges, and loveseats. A couple best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089748,2168738"">Ander Accent Chair</a> for <strong>$89</strong> + <strong>$11</strong> s&amp;h ($50 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168738"">Coryn Fabric Accent Chair</a> for <strong>$159</strong> + <strong>$26</strong> s&amp;h (pictured, $166 off)
 </li>
</ul>",,2168738,Up to 70% off,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rrb7htbhqbbvdq5ojz6z",,Accent Furniture at Macy's,HOME FURNITURE
3,https://www.dealnews.com/OXO-Good-Grips-Spring-Loaded-Poultry-Shears-for-20-free-shipping-w-Prime/2168735.html,2017-12-29T23:17:27-05:00,,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168735"">OXO Good Grips Spring-Loaded Poultry Shears</a> for <strong>$19.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $5. They feature stainless-steel blades that separate for cleaning.",free shipping w/ Prime,2168735,$20,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ajjg9eu4j10em0rpprme",,OXO Good Grips Spring-Loaded Poultry Shears,KITCHEN
3,https://www.dealnews.com/L.L.Bean-Kids-Lunch-Box-for-8-free-shipping/2168732.html,2017-12-29T23:06:12-05:00,,"L.L.Bean offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168732"">L.L.Bean Kids' Lunch Box</a> in six colors ( Nordic Blue Peace Daisy pictured) for $10.99. Coupon code ""EXTRA25"" cuts that to <strong>$8.24</strong>. With <strong>free shipping</strong>, that's $12 off list and the lowest price we've seen for an L.L. Bean lunch box. It features insulation, zippered closures, and a mesh pocket. Deal ends January 1.",free shipping,2168732,$8,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/c7hwjcqxcnlootnm18q1",True,L.L.Bean Kids' Lunch Box,BABIES & KIDS ITEMS
3,https://www.dealnews.com/Pok-mon-Clip-N-Carry-Pok-Ball-Belt-for-9-free-shipping-w-Prime/2168720.html,2017-12-29T22:09:43-05:00,,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168720"">Pokémon Clip 'N' Carry Poké Ball Belt</a> for <strong>$8.69</strong> with <strong>free shipping</strong>. That's about 50 cents under our mention from ten days ago and the lowest price we could find now by $16. It includes one adjustable belt, one Pikachu figure, one Poké ball, and one net ball.",free shipping w/ Prime,2168720,$9,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pxpboivmmbzjwvxll8jg",,Pokémon Clip 'N' Carry Poké Ball Belt,TOYS & HOBBIES
3,https://www.dealnews.com/T-Fal-Airbake-16-x14-Cookie-Sheet-for-10-pickup-at-Walmart/2168687.html,2017-12-29T21:58:05-05:00,,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168687"">T-Fal Airbake 16x14"" Cookie Sheet</a> for <strong>$9.87</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089742,2168687"">Amazon</a> charges the same.) Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's the lowest price we could find by $10. It purportedly decreases bake times by up to 15 percent.",pickup at Walmart,2168687,$10,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kxit36sekubqhth0wsf4",True,"T-Fal Airbake 16x14"" Cookie Sheet",KITCHEN
3,https://www.dealnews.com/Papa-Johns-coupon-50-off-full-price-orders/2168684.html,2017-12-29T21:04:55-05:00,,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168684"">Papa John's</a> cuts <strong>50% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089736,2168684"">regular-price orders</a>, including wings, via coupon code ""2018DEAL"". That's tied with our Black Friday mention as the best percent-off discount we've seen from Papa John's. (Normally the discount is restricted to just pizzas.) Availability varies by location; some exclusions apply.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s1687/Papa-Johns/"">Papa John's Coupons</a>.</p>",,2168684,50% off full-price orders,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/o1nl6bnwexgnilaxjllr",,Papa John's coupon,RESTAURANTS
,"https://www.dealnews.com/lw/click.html?20,2,2168492",2017-12-29T15:35:48-05:00,,"Sign up for a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168492"">Southwest Rapid Rewards® Plus Credit Card from Chase</a> and earn <strong>40,000 points</strong> after you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089469,2168492"">$1,000 or more</a> in the first three months your account is open. You'll also earn <strong>3,000 bonus points</strong> after your Cardmember anniversary. Plus, earn unlimited points that don't expire as long as your card account is open. Cardmembers earn 2 points per $1 spent on Southwest® purchases and Rapid Rewards® Hotel and Car Rental Partner purchases, and 1 point per $1 spent on all other purchases. There are no blackout dates or seat restrictions when you redeem with points. Finally, bags fly free® and there are no change fees. A $69 annual fee applies.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>",,2168492,"40,000 points","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bdvpkwrdh3pw8ey7wvmq",,Southwest Rapid Rewards® Plus Credit Card,CREDIT CARDS
4,https://www.dealnews.com/Tools-of-the-Trade-1.5-qt-Stainless-Tea-Kettle-for-5-pickup-at-Macys/2168639.html,2017-12-29T21:04:06-05:00,,"As one of its daily deals, Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168639"">Tools of the Trade 1.5-Quart Stainless Steel Tea Kettle</a> for <strong>$4.99</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089706,2168639"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's $20 off list and the lowest price we've seen. It whistles when water is boiling and features an easy-grip handle. Deal ends December 30.",pickup at Macy's,2168639,$5,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zhthkguz64pyvnfvl3ob",,Tools of the Trade 1.5qt Stainless Tea Kettle,KITCHEN
4,https://www.dealnews.com/Upcoming-Block-Calendar-Kids-Workshop-for-free-at-Home-Depot-stores/2168660.html,2017-12-29T20:59:04-05:00,,"On January 5 from 9 am to 12 pm local time, participating Home Depot retail stores will offer a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168660"">Block Calendar Kids' Workshop</a> for <strong>free</strong>. (Select a store to register.) Kids will get to build a block calendar and also receive an apron and pin.",at Home Depot stores,2168660,free,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hbciodz9xzktz6vgxjtp",,Upcoming: Block Calendar Kids' Workshop,THINGS TO DO
3,https://www.dealnews.com/Nike-Womens-Celso-Ultra-Thong-Flip-Flops-for-11-free-shipping/2168525.html,2017-12-29T20:58:15-05:00,,"Nike offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168525"">Nike Women's Celso Ultra Thong Flip Flops</a> in Platinum/White for $14.97. In cart, that drops to <strong>$11.23</strong>. Plus, Nike+ members receive <b>free shipping</b>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089535,2168525"">join</a>.) That's the lowest price we could find by $10, although we saw them for a buck less the week of Black Friday. They're available in sizes 6 to 12.",free shipping,2168525,$11,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qidrrx8w39jcan8dxat3",,Nike Women's Celso Ultra Thong Flip Flops,SHOES
4,https://www.dealnews.com/Fizzics-Waytap-Beer-Dispenser-for-85-free-shipping/2168531.html,2017-12-29T20:51:43-05:00,,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168531"">Fizzics Waytap Draft Beer System</a> in Black for <strong>$84.99</strong> with <strong>free shipping</strong>. That's $1 under our March mention and the lowest price we could find by $15. It's compatible with 12-oz. to 25-oz. cans and 12-oz. bottles and requires four AA batteries (not included.)",free shipping,2168531,$85,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mku1dbgeqcchgn7ec1zz",,Fizzics Waytap Beer Dispenser,SMALL APPLIANCES
4,https://www.dealnews.com/Nike-Mens-Lebron-XIV-Low-Basketball-Shoes-for-67-free-shipping/2168678.html,2017-12-29T20:48:30-05:00,,"Nike offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168678"">Nike Men's Lebron XIV Low Basketball Shoes</a> in Stucco or Black for $89.97. In cart, that drops to <strong>$67.48</strong>. Plus, Nike+ members receive <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089730,2168678"">join</a>.) That's the lowest price we could find by $7, although most stores charge at least $90 (if not closer to list price). They're available in select sizes from 7 to 18.",free shipping,2168678,$67,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rwbovsbsusejhuwylxj7",,Nike Men's Lebron XIV Low Basketball Shoes,SHOES
3,https://www.dealnews.com/Gre-Cute-18-x-30-Doormat-for-5-free-shipping-w-Prime/2168495.html,2017-12-29T20:47:50-05:00,,"Nomi Park via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168495"">GreCute 18"" x 30"" Doormat</a> in Black for <strong>$5.09</strong>. Plus, Prime members get <strong>free shipping</strong>. That's $3 under our October mention, $5 off, and the lowest price we could find. It features vinyl backing.",free shipping w/ Prime,2168495,$5,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/n6ikdhmmzqc6e0cty5ci",,"GreCute 18"" x 30"" Doormat",DECOR
5,https://www.dealnews.com/Nike-Mens-Jordan-Ultra.Fly-2-Shoes-for-60-free-shipping/2168672.html,,2017-12-29T20:45:35-05:00,"Nike offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168672"">Nike Men's Jordan Ultra.Fly 2 Basketball Shoes</a> in several colors (Black/Anthracite pictured) for $79.97. In cart, that drops to <strong>$59.98</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089733,2168672"">Villa</a> charges the same in Black/Red.) Plus, Nike+ members receive <b>free shipping</b>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089724,2168672"">join</a>.) That's the lowest price we could find by $7. They're available in select sizes from 9 to 13.",free shipping,2168672,$60,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/m0llhlqluwluva1faedx",,Nike Men's Jordan Ultra.Fly 2 Shoes,SHOES
3,https://www.dealnews.com/Rubbermaid-Take-Alongs-40-pc-Food-Storage-Set-for-9-pickup-at-Target/2168486.html,2017-12-29T20:07:37-05:00,,"Target offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168486"">Rubbermaid TakeAlongs 40-Piece Food Storage Container Set</a> for <strong>$8.99</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089463,2168486"">Amazon</a> has it for the same with a $25 order.) Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's a buck under our July mention and the best price we could find by $3. It includes four mini square containers, two mini round containers, four square containers, four bowl containers, two large bowls, and four square containers.",pickup at Target,2168486,$9,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mrvv4uoewebgcsby5lm0",,Rubbermaid TakeAlongs 40pc Food Storage Set,KITCHEN
4,https://www.dealnews.com/Halo-Wi-Fi-Smart-LED-Recessed-Ceiling-Fixture-for-20-free-shipping/2168657.html,2017-12-29T20:03:12-05:00,,"As one of its daily deals, Home depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168657"">Halo RL 5"" and 6"" Wireless Smart Integrated LED Recessed Downlight Ceiling Fixture</a> in White for <strong>$19.58</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $8. It can be automated and controlled remotely with your smart device and has a selectable color temperature range (2700K to 5000K). It's also compatible with Wink and Samsung SmartThings hubs. Deal ends December 30 at 4 am ET.",free shipping,2168657,$20,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/jpdan2yj6reixei2p2qz",,Halo WiFi Smart LED Recessed Ceiling Fixture,LIGHTING & LAMPS
,https://www.dealnews.com/Tillys-Red-Tag-Sale-Extra-50-off-free-shipping/2168276.html,2017-12-30T00:01:00-05:00,,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168276"">Tillys</a> takes an <strong>extra 50% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088713,2168276"">men's, women's, and kids' apparel, shoes, and accessories</a> as part of its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088716,2168276"">Red Tag Sale</a>. (Eligible items are noted in red; prices are as marked.) Plus, coupon code ""DNFS"" yields free shipping. (If you see an error in-cart after applying the coupon code, click ""Checkout"" and you should see free shipping on the following page.) Deal ends January 2.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s2336/Tillys/"">Tillys Coupons</a>.</p>",free shipping,2168276,Extra 50% off,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wphvb9k1kbvdjseljo9x",,Tillys Red Tag Sale,CLOTHING & ACCESSORIES
3,https://www.dealnews.com/Society-Den-Emery-Upholstered-Platform-Bed-from-163-free-shipping/2168636.html,2017-12-29T19:56:00-05:00,,"Sam's Club offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168636"">Society Den Emery Upholstered Twin Platform Bed</a> in several colors (Teal pictured) for <strong>$162.88</strong> with <strong>free shipping</strong>. (Non-members pay an additional $16.29.) That's the lowest price we could find by $23. It features a chrome silver nailhead trim.<br>
<br>
It's also available in <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089703,2168636"">Full</a> for <strong>$199.88</strong> with <strong>free shipping</strong>. (Non-members pay an additional $19.99.) That's the lowest price we could find by $10.",free shipping,2168636,from $163,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/czeaipyeyabugq3ofkeu",,Society Den Emery Upholstered Platform Bed,BED & BATH
3,https://www.dealnews.com/Metal-Glass-Console-Table-for-70-free-shipping/2168606.html,2017-12-29T18:45:41-05:00,,"Sam's Club offers its members this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168606"">Metal/Glass Console Table</a> for <b>$69.99</b> with <b>free shipping</b>. (Non-members must pay a $7 surcharge.) That's $30 off list and the lowest price we could find. It measures 43"" x 15"" x 30"".",free shipping,2168606,$70,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pmomuazsjfigzg6urrw4",,Metal/Glass Console Table,TABLES
3,https://www.dealnews.com/Go-Pro-HERO6-Black-4-K-Action-Camera-for-400-free-shipping/2168630.html,2017-12-29T18:10:38-05:00,,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168630"">GoPro HERO6 Black 4K Action Camera</a> for <strong>$399.99</strong> with <strong>free shipping</strong>. That's $49 under our Cyber Monday mention (although that included a $75 B&H gift card) and the lowest outright price we've seen. (It's the best deal now by $59, although most retailers charge upwards of $479.) It's waterproof to 33 feet <i>without</i> a housing and features a 2"" touchscreen LCD, up to 4K video recording at 60fps, 12-megapixel still image resolution, three microphones, 5GHz WiFi, Bluetooth, GPS (with data overlay via the free Quik desktop app), microSDXC card slot, micro HDMI, and rechargeable Li-ion battery.",free shipping,2168630,$400,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bcbjeoyylhwq8gsjlxoa",,GoPro HERO6 Black 4K Action Camera,DIGITAL CAMCORDERS
3,https://www.dealnews.com/Serta-Luxury-Hybrid-Shoreway-Mattress-Set-from-699-free-shipping/2168582.html,2017-12-29T18:10:30-05:00,,"Sam's Club offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168582"">Serta Ultra Luxury Hybrid Shoreway Plush Mattress Queen Set</a> with 5.75"" or 9"" boxspring for <b>$699</b> with <b>free white glove delivery</b>. (Delivery includes basic set-up and haul-away. Non-members pay an additional $69.90, so it's better to buy a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089643,2168582"">1-Year Membership</a> for $45.) That's $600 off and the lowest price we could find, although we saw it for $100 less last week. This smooth-top mattress features a 14.75"" profile and hybrid gel memory foam / individually-wrapped coil design. It's compatible with Serta adjustable foundations (sold separately).<br>
<br>
It's also available in <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089646,2168582"">King</a> or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089649,2168582"">California King</a> for <b>$999</b> with <b>free shipping</b>. (As above, non-members should purchase a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089643,2168582"">1-Year Membership</a> for $45 to avoid the $99.90 surcharge.) That's also a tie from three weeks ago, $700 off, and the lowest price we could find.",free shipping,2168582,from $699,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hjztd46vih4mntti82up",,Serta Luxury Hybrid Shoreway Mattress Set,MATTRESSES
3,https://www.dealnews.com/Sperry-Mens-Star-Wars-Cloud-Duel-Shoes-for-37-free-shipping/2168555.html,2017-12-29T17:34:19-05:00,,"Sperry offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168555"">Sperry Men's Star Wars Cloud Duel Slip-On Shoes</a> for <b>$37.48</b> with <b>free shipping</b>. That's $37 off list and the lowest price we could find. They're available in sizes 7 to 13.",free shipping,2168555,$37,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uvxwtwkyzlvvtec6bcxw",,Sperry Men's Star Wars Cloud Duel Shoes,SHOES
4,https://www.dealnews.com/Remington-Shortcut-Pro-Self-Haircut-Kit-for-28-free-shipping/2168585.html,,2017-12-29T20:36:59-05:00,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168585"">Remington Shortcut Pro Self-Haircut Kit</a> for $38.49. Clip the $10 off coupon on the product page to cut that to <strong>$28.49</strong>. With <strong>free shipping</strong>, that's tied with our mention from last week as the lowest price we've seen. (It's the best deal now by $10.) This 13-piece kit includes a hand-held clipper, nine length-adjusting combs, a cleaning brush, storage/travel pouch, oil, and a charger.",free shipping,2168585,$28,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lnluxboxddrq5mlp6biv",True,Remington Shortcut Pro Self-Haircut Kit,HAIR CARE
3,https://www.dealnews.com/Emery-Upholstered-Chair-from-200-free-shipping/2168588.html,2017-12-29T17:27:16-05:00,,"Sam's Club offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168588"">Emery Upholstered Chair</a> in several colors (Natural pictured) for <b>$199.98</b> with <b>free shipping</b>. (Non-members pay a $20 surcharge.) That's the lowest price we could find by $27. It features straight edge arms and nailhead trim.",free shipping,2168588,from $200,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/sanlalnxqycpl7beksld",,Emery Upholstered Chair,CHAIRS
4,https://www.dealnews.com/Mars-Halloween-Candy-250-Piece-Bag-for-8-w-25-purchase-free-shipping/2168597.html,2017-12-29T17:21:03-05:00,,"With orders of $25 or more, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168597"">Mars Chocolate and More Favorites Halloween Candy Variety Mix 95.1-oz. 250-Piece Bag</a> for <strong>$7.80</strong> with <strong>free shipping</strong>. Provided you've got some other shopping to do at Amazon, that's $8 under our October mention and the lowest price we could find now by $6. It includes fun- and mini-sized Starburst, Skittles, 3 Musketeers, Snickers, and Snickers Peanut Butter Squared candies.<br>
<br>
Note: This item is part of Amazon's ""add-on"" program and can only be purchased with an order of $25 or more.",free shipping,2168597,$8 w/ $25 purchase,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/eotxhpehnz9uv7eu8nfp",,Mars Halloween Candy 250-Piece Bag,GROCERIES
