title,url,picture_url,time_published,description,editors_choice,time_modified,uuid,category,shipping,hotness,price
inFAMOUS Second Son for PS4,https://www.dealnews.com/in-FAMOUS-Second-Son-for-PS4-for-10/2168954.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nxaufe7rlpxmgthuq117",2017-12-30T14:31:30-05:00,"Amazon offers downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168954"">inFAMOUS Second Son for PlayStation 4</a> for <strong>$9.99</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089952,2168954"">PlayStation Store</a> has it for the same price.) That's $10 under the best deal we could find for a physical copy.",,,2168954,GAMES,,3,$10
11mm AA+ Freshwater Lavender Pearl Necklace,https://www.dealnews.com/11-mm-AA-Freshwater-Lavender-Pearl-Necklace-for-40-free-shipping/2168885.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fhwarhcutisn037ezibv",2017-12-30T14:26:56-05:00,"Win Pearl offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168885"">11mm AA+ Freshwater Lavender Pearl Necklace</a> for $99.99. Coupon code ""dealnews60"" cuts that to <strong>$40</strong>. With <strong>free shipping</strong>, that's $130 off list and the lowest price we could find. It features a silver clasp and measures 17.5"" in length. Deal ends January 4.",,,2168885,JEWELRY,free shipping,2,$40
MSI X370 Gaming Plus AMD AM4 ATX Mobo,https://www.dealnews.com/MSI-X370-Gaming-Plus-AMD-AM4-ATX-Mobo-for-80-after-rebate-free-shipping/2168951.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vfggtyyl7uewiho222e9",2017-12-30T14:04:49-05:00,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168951"">MSI X370 Gaming Plus AMD Ryzen AM4 ATX Motherboard</a> for $109.99. This <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089943,2168951"">$30 mail-in rebate</a> cuts it to <b>$79.99</b>. With <strong>free shipping</strong>, that's the lowest price we could find by $49, outside of the deal below. It supports AMD Ryzen CPUs and 7th Generation A-series/Athlon CPUs. Other features include two PCIe 3.0 x16 slots, one PCIe 2.0 x16 slot, six SATA 6Gb/s ports, one HDMI port, and Gigabit Ethernet. Deal ends December 31.<br>
<br>
<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089946,2168951"">Newegg</a> charges the same, also after <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089949,2168951"">rebate</a>, but with 99 cents for shipping.",,,2168951,MOTHERBOARDS,free shipping,3,$80 after rebate
"2 Neo Style 6,000mAh Portable Power Banks",https://www.dealnews.com/2-Neo-Style-6-000-m-Ah-Portable-Power-Banks-for-12-5-s-h/2168936.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zg3v5ihss2xir4ggjzje",2017-12-30T13:42:41-05:00,"As one of its daily deals, Meh offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168936"">two Neo Style 6,000mAh Portable Battery Packs</a> for <b>$12</b> plus <b>$5</b> for shipping. That's $18 under the lowest price we could find for this quantity purchased elsewhere. Each features a battery indicator light and flashlight. Two micro USB charging cables are included. Deal ends today.",,,2168936,PORTABLE POWER BANKS,$5 shipping,3,$12
Kindle Unlimited 12-Month Subscription,https://www.dealnews.com/Kindle-Unlimited-12-Month-Subscription-for-84/2168939.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gkwafdilnojadm12oljs",2017-12-30T13:32:52-05:00,"Amazon offers a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168939"">Kindle Unlimited 12-Month Subscription</a> for <strong>$83.92</strong>. That's $36 off, and a monthly rate of $7. Kindle Unlimited features unlimited reading and listening for hundreds of thousands of Kindle books and audiobooks. Some conditions apply.",,,2168939,EBOOKS,,3,$84
Columbia Women's Lookout View Jacket,https://www.dealnews.com/Columbia-Womens-Lookout-View-Jacket-for-40-pickup-at-REI/2168930.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/t0wuruexx7pyn51andty",2017-12-30T13:25:48-05:00,"As one of its daily deals, REI offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168930"">Columbia Women's Lookout View Jacket</a> in several colors (Pulse pictured) for <strong>$39.73</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping charge. That's the lowest price we could find by $16. It's available in select sizes from XS to XL. Deal ends today.",,,2168930,COATS,pickup at REI,4,$40
6 Folgers Ground Coffee 10.3-oz. Cans,https://www.dealnews.com/6-Folgers-Ground-Coffee-10.3-oz.-Cans-for-12-free-shipping/2168927.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/n6om1hqumu1zsqrriqmo",,"ShopRite offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168927"">six Folgers Ground Coffee 10.3-oz. Canisters</a> in Colombian (pictured), <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089931,2168927"">French Roast</a>, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089934,2168927"">Black Silk</a>, or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089937,2168927"">Breakfast Blend</a> for <b>$11.94</b>. Coupon code ""SHIPSFREE"" yields <b>free shipping</b>. That's $1.99 per can and $13 under the lowest price we could find for any flavor in this quantity from another local store.",True,2017-12-30T15:42:44-05:00,2168927,COFFEE,free shipping,4,$12
New Balance Women's 510v2 Trail Running Shoes,https://www.dealnews.com/New-Balance-Womens-510-v2-Trail-Running-Shoes-for-35-1-s-h/2168924.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/cci9ied7nb9zwabxjer7",2017-12-30T13:12:11-05:00,"As one of its daily deals, Joe's New Balance Outlet offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168924"">New Balance Women's 510v2 Trail Running Shoes</a> in Silver for <strong>$34.99</strong>. Coupon code ""DOLLARSHIP"" cuts shipping to <strong>$1</strong>. That's the lowest price we could find by $24. It's available in standard and wide widths in select sizes from 5 to 10. Deal ends today.",,,2168924,SHOES,$1 shipping,3,$35
Jos. A. Bank Men's Cashmere Sportcoat,https://www.dealnews.com/Jos.-A.-Bank-Mens-Cashmere-Sportcoat-for-179-free-shipping/2168915.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/exviq37xvqywoh6fqvnn",2017-12-30T13:05:43-05:00,"As one of its daily deals, Jos. A. Bank offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168915"">Jos. A. Bank Men's Signature Collection Traditional Fit Cashmere Sportcoat</a> in Navy for <b>$179</b> with <b>free shipping</b>. That's $419 off list and the lowest price we could find. It's available in select short, regular, and long sizes from 36 to 46. Deal ends today.",,,2168915,SUITS,free shipping,3,$179
Chase Sapphire Preferred® Card,"https://www.dealnews.com/lw/click.html?20,2,2167586","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/d8ppsk9jlwz1siyg70ap",2017-12-28T12:11:32-05:00,"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167586"">Chase Sapphire Preferred® Credit Card</a> and earn <strong>50,000 bonus points</strong> after you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17086874,2167586"">$4,000 or more</a> on purchases in the first three months from account opening – that's $625 toward travel when you redeem through Chase Ultimate Rewards®. Plus, earn <strong>5,000 bonus points</strong> after you add the first authorized user and make a purchase in the first three months from account opening. Also, earn <strong>2 points</strong> for every $1 spent on travel and dining at restaurants both in the U.S. and abroad, and <strong>1 point</strong> for every $1 spent on all other purchases. There's a <strong>$0 Intro Annual Fee</strong> for the first year, then $95 for each additional year, and <strong>no foreign transaction fees</strong> on purchases made outside the United States. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17086877,2167586"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>",,,2167586,CREDIT CARDS,,,"50,000 bonus points"
Express Clearance Sale,https://www.dealnews.com/Express-Clearance-Sale-Extra-50-Off-free-shipping-w-25/2168918.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hvd4psobimaskomcdayj",2017-12-30T13:01:10-05:00,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168918"">Express</a> takes an <strong>extra 50% off</strong> its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089916,2168918"">men's</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089919,2168918"">women's clearance items</a>. (Discount is applied automatically in-cart.) Shipping adds <strong>$8</strong>, but orders of $25 or more qualify for free shipping. Some exclusions apply. Deal ends December 31.",,,2168918,CLOTHING & ACCESSORIES,free shipping w/ $25,4,Extra 50% Off
Pflueger President/Cabela's Spinning Combo,https://www.dealnews.com/Pflueger-President-Cabelas-Spinning-Combo-for-50-pickup-at-Cabelas/2168618.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wpumtzi1ufxffxw9nsfo",2017-12-30T12:57:39-05:00,"Cabela's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168618"">Pflueger President/Cabela's Tourney Trail Spinning Combo</a> for <strong>$49.88</strong>. Opt for in-store <strong>pickup</strong> to dodge the $8.95 shipping fee. That's $40 off list and the lowest price we could find. It features a nine-bearing reel with anti-reverse, multidisc drag system, IM8-graphite rod, and split cork grips. It's available in 6.5-foot to 7-foot lengths with fast or moderate fast action.",,,2168618,CAMPING & OUTDOORS,pickup at Cabela's,3,$50
Cooler Master MasterBox Lite 3.1 TG mATX Case,https://www.dealnews.com/Cooler-Master-Master-Box-Lite-3.1-TG-mATX-Case-for-30-after-rebate-4-s-h/2168507.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ckkymhuxkwnnefquyii7",2017-12-30T12:57:19-05:00,"Newegg offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168507"">Cooler Master MasterBox Lite 3.1 TG MicroATX Mini Tower Case</a> in Black for $39.99. This <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089499,2168507"">$10 mail-in rebate</a> cuts it to <strong>$29.99</strong>. With <strong>$3.99</strong> for shipping, that's the lowest price we could find by $6. It features two internal 3.5"" drive bays, an internal 2.5"" drive bay, USB 3.0, one 120mm fan (with support for up to two more), four expansion slots, and 4mm tempered glass side panel. It comes with three custom trim colors. Deal ends December 31.",,,2168507,COMPUTER CASES & ACCESSORIES,$4 shipping,3,$30 after rebate
Razor Jetts Heel Wheels,https://www.dealnews.com/Razor-Jetts-Heel-Wheels-for-22-free-shipping-w-Prime/2168513.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/r5m3bnwukjuoszq36jyp",2017-12-30T12:56:36-05:00,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168513"">Razor Jetts Heel Wheels</a> for <strong>$21.99</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089505,2168513"">Target</a> charges the same with in-store pickup.) That's the lowest price we could find by $3. They fit shoe sizes from kids' 12 through men's 12.",,,2168513,TOYS & HOBBIES,free shipping w/ Prime,4,$22
Copper Bakeware 6-Piece Set,https://www.dealnews.com/Copper-Bakeware-6-Piece-Set-for-23-free-shipping/2168912.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bevziw9zhscrhfo63aba",2017-12-30T12:45:29-05:00,"As one of its daily deals, 13 Deals offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168912"">Copper Bakeware 6-Piece Set</a> for <strong>$22.99</strong> with <strong>free shipping</strong>. That's $27 off and the best price we could find, although it was about a buck less in September. It includes two round cake pans, a muffin pan, cake pan, medium load pan, and cookie sheet. Deal ends today.",,,2168912,KITCHEN,free shipping,3,$23
KitchenAid Architect 16-Piece Cutlery Set,https://www.dealnews.com/Kitchen-Aid-Architect-16-Piece-Cutlery-Set-for-51-free-shipping/2168903.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/five7afu0b4mjrmqljs6",2017-12-30T12:43:01-05:00,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168903"">KitchenAid Architect 16-Piece Cutlery Set</a> in Cocoa Silver for <b>$51.19</b> with <b>free shipping</b> via the steps below. That's $119 off list and the lowest price we could find. The set includes one 8"" chef's knife, one 8"" slicer, one 8"" bread knife, one 5.5"" serrated utility knife, one 4.5"" santoku knife, one 3.5"" santoku knife, one 3.5"" paring knife, kitchen shears, six steak knives, and a knife block with built in sharpener. Deal ends today. To get this price:
<ol>
 <li>View the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168903"">KitchenAid Architect 16-Piece Cutlery Set</a> for $79.99
 </li>
 <li>add it to your cart to drop it to $63.99
 </li>
 <li>apply coupon code ""FIT"" for a final price of <b>$51.19</b>
 </li>
</ol>",,,2168903,CUTLERY & FLATWARE,free shipping,4,$51
Gunnar Optiks Intercept Computer Glasses,https://www.dealnews.com/Gunnar-Optiks-Intercept-Computer-Glasses-for-32-w-Prime-free-shipping/2168906.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wo1iqok8mbjaywrc4ttl",,"For Prime members only, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168906"">Gunnar Optiks Intercept Computer Gaming Glasses</a> in Onyx for $39.99. In-cart, clip the ""up to 20% off"" coupon to knock it to <strong>$31.99</strong>. With <strong>free shipping</strong>, that's the lowest price we could find by $8; beyond that, many stores charge around $70. These glasses claim to reduce eye strain and block 65% of blue light emitted from electronic devices.",True,2017-12-30T15:39:04-05:00,2168906,GLASSES & CONTACT LENSES,free shipping,4,$32 w/ Prime
"""Art of Blizzard Entertainment"" in Hardcover",https://www.dealnews.com/Art-of-Blizzard-Entertainment-in-Hardcover-for-10-5-s-h/2168891.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yt37roprvz5kwg8mdjmt",2017-12-30T12:16:12-05:00,"Barnes & Noble offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168891"">Nick Carpenter's <i>The Art of Blizzard Entertainment</i> Hardcover Book</a> for <strong>$9.99</strong> plus <strong>$4.99</strong> for shipping. That's $10 off and the lowest price we could find. (Third-party vendors charge significantly more, as this title is presumably no longer in print.)",,,2168891,BOOKS,$5 shipping,3,$10
