time_published,uuid,shipping,hotness,url,picture_url,time_modified,editors_choice,title,category,description,price
2017-12-29T09:20:21-05:00,2168153,free shipping w/ Prime,3,https://www.dealnews.com/Huo-Zao-Unisex-Winter-Snow-Ski-Gloves-for-8-free-shipping-w-Prime/2168153.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/urp6cbvtlhuxpklcpdds",,,Huo Zao Unisex Winter Snow Ski Gloves,ACCESSORIES,"Huo Zao Direct via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168153"">Huo Zao Unisex Winter Snow Ski Gloves</a> in Black/Grey or Black/Blue for $10.99. Coupon code ""BYI24AGW"" cuts that to <strong>$7.69</strong>. With <strong>free shipping</strong> for Prime members, that's the lowest price we could find by about $6, although we saw them for a buck less during Black Friday week. They're available in one size fits most. Deal ends December 31.",$8
2017-12-29T09:16:06-05:00,2168165,free shipping,5,https://www.dealnews.com/Buy-Dig-Clearance-Extra-20-off-free-shipping/2168165.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/lmwdwooatnd6n6xcrdpd",,,BuyDig Clearance,BUYDIG COUPONS,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168165"">BuyDig</a> cuts an <strong>extra 20% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088152,2168165"">clearance items</a> via coupon code ""CLEAROUT20"". Plus, all orders qualify for <strong>free shipping</strong>. That's the best extra discount we've seen on clearance from BuyDig all year. Brands include Pioneer, Sony, Sigma, Logitech, and more. Some exclusions may apply. Deal ends December 31.",Extra 20% off
2017-12-29T09:09:00-05:00,2168156,,3,https://www.dealnews.com/Baywatch-HD-Rental-for-69-cents/2168156.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pz2f7h5nmxlgsjzjpkei",,,Baywatch HD Rental,DVD & HD MOVIE RENTALS,"As a reader discover, Amazon offers rentals of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168156"">Baywatch in HD</a> for <strong>69 cents</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088128,2168156"">Google Play</a> charges the same.) That's $5 off and the lowest price we could find. Deal ends today.",69 cents
2017-12-29T09:03:16-05:00,2168144,pickup at Walmart,2,https://www.dealnews.com/Disneys-Jungle-Book-14-Sing-Talk-Baloo-for-12-pickup-at-Walmart/2168144.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/g5hejolbzd5ipoknewmo",,,"Disney's Jungle Book 14"" Sing & Talk Baloo",TOYS & HOBBIES,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168144"">Disney's The Jungle Book 14"" Sing &amp; Talk Baloo Plush</a> for <strong>$12.07</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping fee. That's tied with last week's mention and the lowest price we could find by $5. It features sound bytes, courtesy of Bill Murray, and it sings ""Bear Necessities.""",$12
2017-12-29T08:59:51-05:00,2168150,$8 shipping,3,https://www.dealnews.com/2-Victorias-Secret-Womens-Bralettes-for-30-8-s-h/2168150.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/s0m7inunf14b98w087pd",,,2 Victoria's Secret Women's Bralettes,INTIMATES,"Victoria's Secret offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168150"">two Victoria's Secret Bralette Collection Women's Front-close Bralettes</a> in several colors (Kir Chantilly Lace pictured) for <strong>$30</strong> plus <strong>$8</strong> for shipping. That's $11 off and the lowest price we could find, although we saw them for $10 less in April. It's available in sizes from XS to XL.",$30
2017-12-29T08:57:08-05:00,2168147,$8 shipping,3,https://www.dealnews.com/Victorias-Secret-Womens-Cheeky-Panties-for-4-8-s-h/2168147.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bnnu2dm5dnne9tetcdcx",,,Victoria's Secret Women's Cheeky Panties,INTIMATES,"Victoria's Secret offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168147"">Victoria's Secret Women's Cotton Lingerie Cheeky Panties</a> in a variety of styles (Plaid pictured) for <strong>$3.99</strong>. Shipping adds <strong>$8</strong>, so it's recommended you buy several pairs to offset that cost. Still, it's $5 off list for a single pair and the lowest price we could find. They come in select sizes from S to XL.",$4
2017-12-29T08:49:00-05:00,2168141,$8 shipping,3,https://www.dealnews.com/Victorias-Sport-Womens-Anytime-Leggings-for-25-8-s-h/2168141.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qohcu61dsy8boo8vigch",,,Victoria's Sport Women's Anytime Leggings,ACTIVEWEAR,"Victoria's Secret offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168141"">Victoria's Sport Women's Anytime Cotton Leggings</a> in several colors (Black Pearl pictured) for <strong>$24.99</strong> plus <strong>$8</strong> for shipping. That's $20 off and the lowest price we could find. They're available in short, regular, and long sizes from XS to XL.",$25
2017-12-29T08:39:37-05:00,2168117,free shipping,2,https://www.dealnews.com/Olaxer-Ceramic-Hair-Straightening-Brush-for-18-free-shipping/2168117.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/odidk5fbgix1koohnutq",,,Olaxer Ceramic Hair Straightening Brush,HAIR CARE,"SkySeaCloud via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168117"">Olaxer Ceramic Hair Straightening Brush</a> for $35.99. Coupon code ""4I9CNA7Q"" cuts the price to <strong>$17</strong>. With <strong>free shipping</strong>, that's a buck under last week's mention, $19 off list, and the lowest price we could find. It features five heat settings, an ergonomic handle, and anti-scald technology. Deal ends January 3.",$18
2017-12-29T08:38:51-05:00,2168138,$8 shipping,3,https://www.dealnews.com/Victorias-Sport-Womens-Strappy-Sport-Bra-for-13-8-s-h/2168138.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ikyds66hgcgjxbem9eg4",,,Victoria's Sport Women's Strappy Sport Bra,INTIMATES,"Victoria's Secret offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168138"">Lightweight by Victoria's Secret Sport Women's Strappy Sport Bra</a> for <strong>$12.99</strong> plus <strong>$8</strong> for shipping. That's $17 off and the lowest price we could find. It's available in sizes from 32A to 38DD.",$13
,2167598,,,"https://www.dealnews.com/lw/click.html?20,2,2167598","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iqvilhcxr75ii4qvfihq",2017-12-28T12:39:27-05:00,,Bank of America® Cash Rewards Credit Card,CREDIT CARDS,"At Bank of America, apply for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167598"">Bank of America® Cash Rewards credit card</a> and receive a <strong>$150 cash rewards bonus</strong> after you spend at least $500 on purchases in the first 90 days of account opening. Plus, get a <strong>10% customer bonus</strong> every time you redeem your cash back into a Bank of America® checking or savings account. (If you're a Preferred Rewards client, you can increase that bonus to 25% - 75%.) You'll also earn 1% cash back everywhere, every time, 2% at grocery stores and wholesale clubs, and 3% on gas for the first $2,500 in combined grocery, wholesale club, and gas purchases each quarter. (There are no changing categories and your rewards do not expire.) Finally, there's <strong>no annual fee</strong>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1631/Bank-of-America/"">Bank of America credit card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>",$150 cash rewards offer
2017-12-29T08:38:11-05:00,2168135,free shipping,3,https://www.dealnews.com/7-Wired-Video-Intercom-Doorbell-Kit-for-60-free-shipping/2168135.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tyssufbkmbe3vayig02a",,,"7"" Wired Video Intercom Doorbell Kit",HOME SECURITY,"Yallstore via eBay offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168135"">7"" Wired Video Intercom Doorbell Kit</a> for <strong>$59.59</strong> with <strong>free shipping</strong>. That's $60 off and the lowest price we could find, excluding other eBay vendors. It features a 7"" 480x234 LCD display with night vision, 0.3-megapixel CMOS sensor, 92-degree viewing angle, and an image transmission distance of 656-feet.",$60
2017-12-29T08:33:32-05:00,2168126,free shipping,3,https://www.dealnews.com/adidas-Mens-Taylor-Made-Mesh-Golf-Flex-Fit-Cap-for-10-free-shipping/2168126.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rsu1rgtntozqpqyy82fg",,,adidas Men's TaylorMade Mesh Golf FlexFit Cap,ACCESSORIES,"Holeoutgolfshop via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168126"">adidas TaylorMade Men's Golf Tour Mesh FlexFit Cap</a> in Camouflage for <strong>$9.95</strong> with <strong>free shipping</strong>. That's $15 off list and the lowest price we could find. It's available in sizes S/M or L/XL.",$10
2017-12-29T08:31:52-05:00,2168132,$8 shipping,3,https://www.dealnews.com/Victorias-Secret-Womens-Graphic-T-Shirt-for-10-8-s-h/2168132.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tc7a9azymqooyluzirfd",,,Victoria's Secret Women's Graphic T-Shirt,SLEEP & LOUNGE,"Victoria's Secret offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168132"">Victoria's Secret Women's Graphic Scoopneck T-Shirt</a> in several colors (Black pictured) for <strong>$9.99</strong> plus <strong>$8</strong> for shipping. That's $15 off and the lowest price we could find. It's available in sizes from XS to XL.",$10
2017-12-29T08:27:13-05:00,2168123,free shipping,3,https://www.dealnews.com/Lenovo-L27-q-27-1440-p-IPS-LED-LCD-Display-for-200-free-shipping/2168123.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uajoqrt0yis7slbrprqt",,,"Lenovo L27q 27"" 1440p IPS LED LCD Display",MONITORS,"Lenovo offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168123"">Lenovo L27q 27"" 1440p QHD IPS LED-Backlit LCD Monitor</a> for $224.99. Coupon code ""MONITORSALE"" cuts that to <strong>$199.99</strong>. With <strong>free shipping</strong>, that's tied with last week's mention and the lowest price we could find by $60. It features a native resolution of 2560x1440 (1440p) and DisplayPort and HDMI inputs.",$200
2017-12-29T08:23:34-05:00,2168105,free shipping w/ Prime,2,https://www.dealnews.com/Pisen-10-000-m-Ah-Slim-Power-Bank-for-17-free-shipping-w-Prime/2168105.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/i43cl8f056j6ffcevgzo",,,"Pisen 10,000mAh Slim Power Bank",PORTABLE POWER BANKS,"Pisen via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168105"">Pisen 10,000mAh Slim Power Bank</a> in Red for $24.99. Coupon code ""3DQXV6UN"" cuts it to <strong>$16.99</strong>. With <strong>free shipping</strong> for Prime members, that's $8 off list and the lowest price we could find. It features micro USB and Lightning ports, over-heat protection, auto-off, and LED power indicator. Deal ends January 9.",$17
2017-12-29T08:18:56-05:00,2168129,free shipping,4,https://www.dealnews.com/Weatherproof-Mens-Jason-Waterproof-Hikers-for-37-free-shipping/2168129.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bmnlusuagr9x23ykikmf",,,Weatherproof Men's Jason Waterproof Hikers,COATS,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168129"">Weatherproof Men's Vintage Jason Waterproof Hikers</a> in several colors (Tan pictured) for <strong>$36.99</strong> with <strong>free shipping</strong>. That's $38 off and the lowest price we could find, They're available in sizes from 8 to 13. Deal ends December 30.",$37
2017-12-29T08:00:01-05:00,2162873,,,https://www.dealnews.com/features/What-to-Expect-From-2018-Shopping/2152364.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iv2iyq9xh2ehm56up1mp",,,What to Expect From 2018 Shopping,CONSUMER NEWS,"If you're wondering <a data-iref=""fp-feature-content-wide-body"" href=""https://www.dealnews.com/features/What-to-Expect-From-2018-Shopping/2152364.html"">what the retail landscape will look like in 2018</a>, the buzzwords are numerous. Shopping will look less and less like it did a decade, or even five years ago. Check out our full analysis.",
2017-12-29T07:58:36-05:00,2168120,pickup at GameStop,3,https://www.dealnews.com/Elite-Dangerous-Legendary-Ed.-for-PS4-XB1-for-20-pickup-at-Game-Stop/2168120.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/sdxvjl8jsce6xxmapcam",,True,Elite Dangerous: Legendary Ed. for PS4/XB1,GAMES,"GameStop offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168120"">Elite Dangerous: Legendary Edition for PlayStation 4</a> or <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088074,2168120"">Xbox One</a> for <strong>$19.99</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's tied with last month's mention and the lowest price we could find by at least $25. It includes the base game and the Horizons season pass.",$20
2017-12-29T07:43:53-05:00,2168114,free shipping w/ $100,4,https://www.dealnews.com/Victorias-Secret-Semi-Annual-Sale-25-to-60-off-free-shipping-w-100/2168114.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hu9zx2rnb68d2zxssjt0",,,Victoria's Secret Semi-Annual Sale,CLOTHING & ACCESSORIES,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168114"">Victoria's Secret</a> takes <strong>25% to 60% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088068,2168114"">items</a> in its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17088071,2168114"">Semi-Annual Sale</a>. (Prices are as marked.) Shipping adds <strong>$8</strong>, or bag free shipping on orders of $100 or more. Bras start from <strong>$9.99</strong>, panties from <strong>$3.99</strong>, and sportswear from <strong>$12.99</strong>.",25% to 60% off
2017-12-29T03:18:06-05:00,2167820,free shipping w/ Prime,,https://www.dealnews.com/Aduro-U-Grip-Tablet-Stand-and-Holder-for-10-free-shipping-w-Prime/2167820.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/r4rw5okcl1wu2dlptziu",,,Aduro U-Grip Tablet Stand and Holder,TABLET ACCESSORIES,"Entronik via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2167820"">Aduro U-Grip Tablet Stand and Holder</a> in several colors (Black/Red pictured) for $12.97. Coupon code ""P6HBBJMA"" cuts it to <b>$9.99</b>. Plus, Prime members get <b>free shipping</b>. It fits tablets of 7"" to 10"", a rubber coated grip, and 360° of rotation. Deal ends January 6.",$10
2017-12-29T07:21:53-05:00,2168111,free shipping,5,https://www.dealnews.com/Samples-w-2-Amazon-Credit-for-2-w-Prime-free-shipping/2168111.html,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zduoyf837xc2bzhmurfl",,True,Samples w/ $2 Amazon Credit,AMAZON COUPONS,"For Prime members only, Amazon offers a range of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168111"">samples bundled with $2 Amazon Credit</a> for <strong>$2 each</strong> with <strong>free shipping</strong>. Assuming you'll spend the credit, that essentially makes these samples free. Save on toothpaste, groceries, beauty items, and more.",$2 w/ Prime
